,feature,icc_value,c_down,c_up,sequence
4114,wavelet-HLH_glszm_ZoneVariance,0.99,0.98,1.0,t2w
4115,wavelet-HLH_ngtdm_Busyness,0.97,0.94,0.99,t2w
4116,wavelet-HLH_ngtdm_Coarseness,0.97,0.95,0.99,t2w
4117,wavelet-HLH_ngtdm_Complexity,0.6,0.43,0.79,t2w
4118,wavelet-HLH_ngtdm_Contrast,0.85,0.74,0.93,t2w
4119,wavelet-HLH_ngtdm_Strength,0.76,0.62,0.89,t2w
4120,wavelet-HLH_gldm_DependenceEntropy,0.96,0.93,0.98,t2w
4121,wavelet-HLH_gldm_DependenceNonUniformity,0.98,0.97,0.99,t2w
4122,wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.98,0.95,0.99,t2w
4123,wavelet-HLH_gldm_DependenceVariance,0.96,0.93,0.99,t2w
4124,wavelet-HLH_gldm_GrayLevelNonUniformity,0.99,0.97,0.99,t2w
4125,wavelet-HLH_gldm_GrayLevelVariance,0.92,0.86,0.97,t2w
4126,wavelet-HLH_gldm_HighGrayLevelEmphasis,0.59,0.42,0.79,t2w
4127,wavelet-HLH_gldm_LargeDependenceEmphasis,0.99,0.99,1.0,t2w
4128,wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.59,0.42,0.79,t2w
4129,wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.82,0.7,0.92,t2w
4130,wavelet-HLH_gldm_LowGrayLevelEmphasis,0.8,0.67,0.91,t2w
4131,wavelet-HLH_gldm_SmallDependenceEmphasis,0.97,0.94,0.99,t2w
4132,wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.64,0.48,0.82,t2w
4133,wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.67,0.5,0.84,t2w
