,feature,icc_value,c_down,c_up,sequence
245,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,dce
246,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.99,0.98,1.0,adc
247,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.99,0.98,1.0,dce
248,log-sigma-2-0-mm-3D_glcm_ClusterShade,1.0,0.99,1.0,adc
249,log-sigma-2-0-mm-3D_firstorder_Skewness,1.0,1.0,1.0,dce
250,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.99,0.99,1.0,adc
251,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,1.0,1.0,1.0,dce
252,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,1.0,1.0,dce
253,log-sigma-2-0-mm-3D_glcm_Contrast,0.99,0.99,1.0,adc
254,log-sigma-2-0-mm-3D_glcm_Correlation,0.99,0.98,1.0,adc
255,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,1.0,1.0,dce
256,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,1.0,0.99,1.0,adc
257,log-sigma-2-0-mm-3D_glcm_Autocorrelation,1.0,1.0,1.0,dce
258,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,1.0,0.99,1.0,adc
259,log-sigma-2-0-mm-3D_glcm_ClusterProminence,1.0,1.0,1.0,dce
260,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.99,0.98,1.0,adc
261,log-sigma-2-0-mm-3D_glcm_ClusterShade,1.0,1.0,1.0,dce
262,log-sigma-2-0-mm-3D_glcm_Id,1.0,1.0,1.0,adc
263,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,1.0,1.0,dce
264,log-sigma-2-0-mm-3D_glcm_Idm,1.0,1.0,1.0,adc
265,log-sigma-2-0-mm-3D_glcm_Contrast,1.0,1.0,1.0,dce
266,log-sigma-2-0-mm-3D_glcm_Idmn,0.97,0.94,0.99,adc
267,log-sigma-2-0-mm-3D_glcm_Correlation,1.0,1.0,1.0,dce
268,log-sigma-2-0-mm-3D_glcm_Idn,0.97,0.94,0.99,adc
269,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,1.0,1.0,1.0,dce
270,log-sigma-2-0-mm-3D_glcm_Imc1,0.99,0.98,1.0,adc
271,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,1.0,1.0,1.0,dce
272,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.98,1.0,adc
273,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,1.0,1.0,1.0,dce
274,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,1.0,1.0,adc
275,log-sigma-2-0-mm-3D_glcm_Id,1.0,1.0,1.0,dce
276,log-sigma-2-0-mm-3D_glcm_Idm,1.0,1.0,1.0,dce
277,log-sigma-2-0-mm-3D_glcm_JointAverage,0.99,0.99,1.0,adc
278,log-sigma-2-0-mm-3D_glcm_Idmn,1.0,1.0,1.0,dce
279,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,adc
280,log-sigma-2-0-mm-3D_glcm_Idn,1.0,1.0,1.0,dce
281,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,1.0,1.0,adc
282,log-sigma-2-0-mm-3D_glcm_MCC,0.99,0.98,1.0,adc
283,log-sigma-2-0-mm-3D_glcm_Imc1,1.0,1.0,1.0,dce
284,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,adc
285,log-sigma-2-0-mm-3D_glcm_Imc2,1.0,1.0,1.0,dce
286,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,1.0,1.0,dce
287,log-sigma-2-0-mm-3D_glcm_SumAverage,0.99,0.99,1.0,adc
