,feature,icc_value,c_down,c_up,sequence
282,log-sigma-2-0-mm-3D_glcm_InverseVariance,1.0,0.99,1.0,dce
283,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,adc
284,log-sigma-2-0-mm-3D_glcm_JointAverage,0.76,0.61,0.89,dce
285,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,0.99,1.0,adc
286,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,dce
287,log-sigma-2-0-mm-3D_glcm_MCC,0.93,0.88,0.97,adc
288,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,1.0,1.0,dce
289,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,adc
290,log-sigma-2-0-mm-3D_glcm_MCC,0.84,0.74,0.93,dce
291,log-sigma-2-0-mm-3D_glcm_SumAverage,0.92,0.85,0.96,adc
292,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,dce
293,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,0.99,1.0,adc
294,log-sigma-2-0-mm-3D_glcm_SumAverage,0.76,0.61,0.89,dce
295,log-sigma-2-0-mm-3D_glcm_SumSquares,0.99,0.98,1.0,adc
296,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,1.0,1.0,dce
297,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
298,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,0.99,1.0,dce
299,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,0.99,1.0,adc
300,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
301,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.97,0.99,adc
302,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
303,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.93,0.87,0.97,adc
304,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
305,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.98,1.0,dce
306,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.92,0.86,0.97,adc
307,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.51,0.34,0.73,dce
308,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.8,0.67,0.91,adc
309,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.75,0.61,0.89,adc
310,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,0.99,1.0,dce
311,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.99,0.97,0.99,adc
312,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.46,0.29,0.69,dce
313,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,adc
314,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.92,0.85,0.97,dce
315,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,1.0,0.99,1.0,adc
316,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,adc
317,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.91,0.84,0.96,dce
318,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,adc
