,feature,icc_value,c_down,c_up,sequence
313,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
314,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,t2w
315,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.91,0.89,0.93,adc
316,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,t2w
317,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.87,0.84,0.9,adc
318,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.99,0.99,1.0,t2w
319,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.87,0.84,0.9,t2w
320,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.86,0.83,0.9,adc
321,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.93,0.91,0.95,t2w
322,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.99,0.99,0.99,adc
323,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.97,0.97,0.98,t2w
324,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,adc
325,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.91,0.89,0.93,t2w
326,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,adc
327,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.84,0.8,0.88,t2w
328,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,adc
329,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.87,0.83,0.9,t2w
330,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,adc
331,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.99,0.99,1.0,t2w
332,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,1.0,1.0,adc
333,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.89,0.86,0.92,t2w
334,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.92,0.9,0.94,adc
335,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.96,0.94,0.97,t2w
336,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.86,0.83,0.9,adc
337,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.89,0.86,0.92,t2w
338,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
339,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.75,0.69,0.8,t2w
340,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.99,0.98,0.99,adc
341,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.66,0.59,0.72,t2w
342,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.99,0.98,0.99,adc
343,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.56,0.49,0.63,t2w
344,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.92,0.89,0.94,adc
345,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.83,0.79,0.87,t2w
346,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
347,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7,0.64,0.76,t2w
348,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,1.0,1.0,1.0,adc
