,feature,icc_value,c_down,c_up,sequence
1418,wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.99,0.98,0.99,adc
1419,wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,1.0,1.0,1.0,t2w
1420,wavelet-LHH_glrlm_GrayLevelVariance,0.99,0.98,0.99,adc
1421,wavelet-LHH_glrlm_LongRunEmphasis,1.0,1.0,1.0,t2w
1422,wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.97,0.96,0.98,adc
1423,wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.99,0.99,1.0,t2w
1424,wavelet-LHH_glrlm_LongRunEmphasis,1.0,0.99,1.0,adc
1425,wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
1426,wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.97,0.96,0.98,adc
1427,wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.99,0.99,0.99,t2w
1428,wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.91,0.88,0.93,adc
1429,wavelet-LHH_glrlm_RunEntropy,1.0,1.0,1.0,t2w
1430,wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.91,0.88,0.93,adc
1431,wavelet-LHH_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,t2w
1432,wavelet-LHH_glrlm_RunEntropy,0.98,0.97,0.99,adc
1433,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,t2w
1434,wavelet-LHH_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,adc
1435,wavelet-LHH_glrlm_RunPercentage,1.0,1.0,1.0,t2w
1436,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,1.0,0.99,1.0,adc
1437,wavelet-LHH_glrlm_RunVariance,1.0,1.0,1.0,t2w
1438,wavelet-LHH_glrlm_RunPercentage,1.0,0.99,1.0,adc
1439,wavelet-LHH_glrlm_ShortRunEmphasis,1.0,1.0,1.0,t2w
1440,wavelet-LHH_glrlm_RunVariance,1.0,0.99,1.0,adc
1441,wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,1.0,1.0,1.0,t2w
1442,wavelet-LHH_glrlm_ShortRunEmphasis,1.0,0.99,1.0,adc
1443,wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
1444,wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.97,0.96,0.98,adc
1445,wavelet-LHH_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
1446,wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,1.0,0.99,1.0,t2w
1447,wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.9,0.88,0.93,adc
1448,wavelet-LHH_glszm_GrayLevelVariance,1.0,1.0,1.0,t2w
